salary,about,description,title,skills,company,responsibilities,contact,location,education
,,,,Undergraduate degree in a relevant discipline.      Post-graduate degree may be required for specialized positions.      Undergraduate degree in an IT or Business Administration related      discipline preferred. ,,,,,
,,,,Strong experience as a business      analysis and/or business transformation ,,,,,
,,,,Exceptional communication and facilitation      skills ,,,,,
,,,,Experienced in working in medical clinics ,,,,,
,,,,Proven Change Management skills ,,,,,
,,,,Experienced with Electronic Medical Records,,,,,
,,,"<title>
    Business Analyst (Navision) Job in Vancouver V6C 2T5, British Columbia Canada
  </title>",,,,,,
,Stellar Recruitment is currently searching for a ,,,,,,,,
,,,,Experience testing      packaged solutions and integration with legacy systems,,,,,
,,,,Experience in      scripting languages such as Python Java script is required.,,,,,
,,,,Experience with      Service Oriented Architecture (SOA) is an asset.,,,,,
,,,,Experience in a higher      education environment is an asset. ,,,,,
,,,,"Experience using      Oracle, MS SQL Server and/or MySQL is an asset. ",,,,,
,,,,"Expert knowledge of      unit, integration, code migration, functional, regression, automation and      performance testing techniques is required.",,,,,
,,,,Knowledge of software      development defect management processes and proven leadership on defect      resolution procedures and reporting,,,,,
,,,,Knowledge of designing      and developing test environments and data for testing or quality control      is required.,,,,,
,,,,"A proven go-to person      for quality assurance performance testing knowledge and advice.      Demonstrated ability to create and implement quality performance test      strategies for varying project sizes. Expert knowledge of performance,      regression, unit and functional testing techniques. ",,,,,
,,,,Proven knowledge and      continuous learning of quality assurance analysis discipline and best      practices. ,,,,,
,,,,"Demonstrated      contributions to the continuous improvement of quality assurance analysis      practices, methodology and implementation. ",,,,,
,,,,"Strong analytical      skills demonstrated through analysis of complex software algorithms,      application of software quality assurance methods, and completion of root      cause analysis",,,,,
,,,,"Strong understanding      and related experience with Testing best practices/concepts (e.g. Test and      Behavior Driven Development) and testing tools (e.g. JUnit, Cucumber, and      concepts)",,,,,
,,,,"Knowledge of project      management, quality assurance, change management disciplines and best      practices and development methodologies. ",,,,,
,,,,Strong written and verbal communication skills.,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Ability to travel.,,,,,
, opportunity. ,,,,,,,,
, ,,,,,,,,
,The Role:,,,,,,,,
," The successful candidate will support the client’s existing web applications,  Google based single purpose maps, and FME server publishing process for Open Data.  System administration and sustainment duties also include application performance monitoring, testing and trouble shooting.   ",,,,,,,,
, ,,,,,,,,
,"The programmer / analyst will also be responsible for delivering on demand service requests to improve the existing GIS applications. Duties include: gathering and analysis of user/business requirements, proposing solutions to meet identified requirements, and developing and testing complex systems and system integrations.  ",,,,,,,,
, ,,,,,,,,
,"The programmer / analyst may participate in larger projects such as Autodesk Infrastructure Map Server (AIMS) upgrade, FME upgrade, ArcGIS Hazus, etc.",,,,,,,,
, ,,,,,,,,
,Qualifications:  ,,,,,,,,
, ,,,,,,,,
,,,,Strong analytical skills coupled with a      questioning & creative approach to problem solving ,,,,,
,,,,Ability to quickly develop effective working      relationships with stakeholders and business professionals at all levels ,,,,,
,Business Analyst ,,,,,,,,
,with expertise in ,,,,,,,,
,Microsoft Dynamics Navision ,,,,,,,,
,"financial systems to work with one of our downtown Vancouver clients. The successful candidate will work with a variety of business units to provide oversight and maintenance of the financial system from an IT standpoint. This will be a permanent, full time position.",,,,,,,,
, ,,,,,,,,
,Job Responsibilities:,,,,,,,,
,Job Requirements:,,,,,,,,
, ,,,,,,,,
,To Apply -- please visit our website ,,,,,,,,
,www.stellar-recruitment.com,,,,,,,,
, ,,,,,,,,
,,,"<title>
    Senior Business Systems Analyst - Retail Job in Vancouver V6B1P1, British Columbia Canada
  </title>",,,,,,
,,,,"Excellent      organizational, planning, and prioritization skills. Ability to multi-task      and address project demands in a fast-paced and changing environment.",,,,,
,,,,"Demonstrates the      willingness, ability, and enthusiasm to learn new processes, methodologies      or technologies. Good understanding of key trends and players in the IT      industry and higher-education sector ",,,,,
,,,,Working experience on      enterprise-wide projects.,,,,,
,,,,Ability to generate      reports using reporting and testing tools and data extract queries,,,,,
,N.B.: An Enhanced Reliability Check security clearance is a requirement of this position.,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
,,,,Strong organization and planning skills ,,,,,
, ,,,,,,,,
,"At Stellar, we’re focused on people—outstanding people. Our staff have been building solid relationships and growing an extensive network in Vancouver and Calgary’s IT, Accounting & Finance and Engineering sectors for over 10 years. As a result, we have strong connections to the best organizations and the most talented minds in this city.",,,,,,,,
, ,,,,,,,,
,"Our business is guided by honesty and integrity. Those qualities make us diligent about finding exceptional matches that work to the mutual advantage of both the hiring company and the candidate. We’ll find the most appropriate person for each position, and the most suitable position for every consultant. That’s our job and we do it well. No red tape. Just simple, straightforward solutions that make life easier for our clients.",,,,,,,,
, ,,,,,,,,
,Stellar Recruitment is currently searching for a ,,,,,,,,
,Business Analyst ,,,,,,,,
,with expertise in ,,,,,,,,
,Microsoft Dynamics Navision ,,,,,,,,
,"financial systems to work with one of our downtown Vancouver clients. The successful candidate will work with a variety of business units to provide oversight and maintenance of the financial system from an IT standpoint. This will be a permanent, full time position.",,,,,,,,
, ,,,,,,,,
,Job Responsibilities:,,,,,,,,
,,,"<title>
    Financial Analyst Job in Burnaby V6B1P1, British Columbia Canada
  </title>",,,,,,
,,,,"Knowledge and      experience testing requirements associated with XML / XSL, and web      services; - familiarity testing applications for mobile devices is an      asset. ",,,,,
,,,,"Knowledge of      programming languages such as Java, .NET, PHP, PeopleTools, as appropriate",,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,,,,2+ years of experience with Oracle      Spatial,,,,,
,Job Requirements:,,,,,,,,
, ,,,,,,,,
,To Apply -- please visit our website ,,,,,,,,
,www.stellar-recruitment.com,,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,"At Stellar, we’re focused on people—outstanding people. Our staff have been building solid relationships and growing an extensive network in Vancouver and Calgary’s IT, Accounting & Finance and Engineering sectors for over 10 years. As a result, we have strong connections to the best organizations and the most talented minds in this city.",,,,,,,,
, ,,,,,,,,
,"Our business is guided by honesty and integrity. Those qualities make us diligent about finding exceptional matches that work to the mutual advantage of both the hiring company and the candidate. We’ll find the most appropriate person for each position, and the most suitable position for every consultant. That’s our job and we do it well. No red tape. Just simple, straightforward solutions that make life easier for our clients.",,,,,,,,
,,,"<title>
    Technical Analyst, Voice Systems Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,"Provides Tier 1/Tier 2 support to the business       users for voice systems including user account administration, access       privileges, CTI integration and desktop applications, voice servers and       telephony appliances using incident/work request management systems.",,,,,
,,,,"Knowledge of SQL, DDL,      Oracle PL/SQL and Stored procedures.",,,,,
,,,,4+ years of experience with ASP.NET/C#,,,,,
,,,,Experience with Oracle Databases      (strongly preferred) or SQL Server,,,,,
,,,,"Some Web Development in HTML, JavaScript,      CSS or REST API.",,,,,
,,,,Knowledge of PL/SQL is highly      desirable.  ,,,,,
, ,,,,,,,,
,,,,Provide ongoing support for end      users,,,,,
,,,,Manage new and existing user      accounts,,,,,
,,,,Gather requirements from      business units on system needs,,,,,
,,,,Review and maintain financial      reporting systems,,,,,
,,,,Test data integrity within data      warehouse and financial reporting systems,,,,,
,,,,"Create Excel templates used for      reporting, budgeting and dash-boarding",,,,,
,,,,Superior knowledge of Microsoft      Navision and Excel,,,,,
,,,,"3 years experience in an IT      focused role working with databases, reporting and security",,,,,
,,,,Coordinates with Tier 3 support (either       external vendors or other internal IT support staff) to troubleshoot and       resolve issues and prepare incident reports for system outages.,,,,,
,,,,Apply product and system patches and perform       software version upgrades for voice/telephony servers and applications.,,,,,
,,,,"Manages and leads voice projects for both       technology and business aspects from preparing business case, choosing       technology, selecting vendor, testing and deploying to Production.",,,,,
,,,,"Implements, maintains, documents and tests       Business Continuity/Disaster Recovery Plan (BCP/DRP) for voice/data       infrastructure, systems, and applications.",,,,,
,,,,"Installs, maintains, and supports       telecommunication and call center systems including dialers, voice       response units, call back system, call monitoring systems, automatic call       distributors and call routers.",,,,,
,,,,"Supports other IT personnel by working as a team       to install, configure, monitor, and maintain network operating systems,       local area network, internet, and wide area network including       internal/external firewall, virtual private networking, intrusion       prevention system, intrusion detection system, access control server, and       core/access/blade/virtual switch.",,,,,
,,,,"Creates and updates department operating       procedures and instructions when performing voice and network       installation, diagnosis and repairs and provide knowledge transfer.",,,,,
,,,,A Bachelor’s Degree or       equivalent experiences with a major or minor in Computer Science or       related field.,,,,,
,,,,A minimum of four       years’ experience in the following areas:,,,,,
,,,,Tier 1 and or Tier 2 voice system support.,,,,,
,,,,"Telecommunication and Call Centre systems including dialers, voice        response units, call back system, call monitoring systems, automatic call        distributors and call routers.",,,,,
,,,,"Microsoft Technologies including Windows server/desktop operating        system, Active directory,",,,,,
,,,,Excellent verbal and written      communication,,,,,
,,,,Knowledge of IT system design      and programming,,,,,
,,,,"Network operating systems, local area network, internet, and wide        area network including internal/external firewall, virtual private        networking, and core/access switch.",,,,,
,,,,Enterprise Contact Centre Solution from Avaya or Cisco,,,,,
,,,,"Certificate such as       Cisco CCNA/CCNP in Routing and Switching/Voice, PMP, ITIL",,,,,
,,,,"Working knowledge with       Cisco technologies including Cisco UCS Server, Cisco Unified Contact       Center Express, Cisco Unified Communications Manager, and Instant       Messaging and Presence with Cisco Jabber",,,,,
,,,,"Voice recording       solution (Verint Systems), Workforce Management solution (Aspect), Mobile       Device Management solution (Good Enterprise), and Video Conferencing       solution (Cisco)",,,,,
,,,,"Data Center       Infrastructure technologies such as Cisco switches, Palo Alto firewall,       VMWare vSphere for server virtualization, VMWare View for desktop       virtualization (VDI), VMWare Thinapp for application virtualization, IBM       Blade Centre for server consolidation, and MS Windows for server and       desktop Operating System",,,,,
,,,,"design, business requirements gathering,       requirements analysis, object modeling ",,,,,
,,,"<title>
    Junior Business Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,Elicit requirements from business stakeholders both internally and      externally ,,,,,
,,,,Gain an understanding of how stakeholder requirements fit with      existing processes that have been developed ,,,,,
,,,,Act as a “bridge” between technical and non-technical staff in      order to collaborate with both parties and understand user goals ,,,,,
,,,,Analyze business workflow and develop business processes ,,,,,
,,,,A degree in IT/Computer Science or a related discipline ,,,,,
,,,,You have excellent attention to detail and a curious mind ,,,,,
,,,"<title>
    Senior Business Analyst - Claims Processing Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,On behalf of our high profile client here in ,,,,,,,,
,,,,You possess an enthusiastic attitude with a strong willingness to      learn ,,,,,
,,,,Ability to be flexible and respond to changing position      requirements ,,,,,
,,,,You have displayed good troubleshooting skills in past positions ,,,,,
,,,,An understanding and experience working on implementation and      integration projects ,,,,,
,,,,A minimum of 4-8 years of work experience within Information      Technology ,,,,,
,,,,Strong verbal and written communication skills ,,,,,
,,,,Experience within the higher education industry would be an asset,,,,,
,"Vancouver,",,,,,,,,
,Ignite Technical Resources,,,,,,,,
, is looking for a ,,,,,,,,
,Senior Business Analyst for a Claims Processing Project ,,,,,,,,
,with our client,,,,,,,,
,for a ,,,,,,,,
,14 week contract opportunity ,,,,,,,,
,with a strong possibility of an extension.,,,,,,,,
, ,,,,,,,,
,Project Description:,,,,,,,,
,The scope of this engagement is to work with the Health Benefits team and IIMS to document current and future state claims processes and business requirements.,,,,,,,,
, ,,,,,,,,
,Deliverables:,,,,,,,,
, ,,,,,,,,
,Experience and Qualifications:,,,,,,,,
, ,,,,,,,,
,Must have: ,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
,,,"<title>
    Quality Assurance Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,On behalf of our high profile client here in ,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
,"Vancouver,",,,,,,,,
,Ignite Technical Resources,,,,,,,,
, is looking for a ,,,,,,,,
,Quality Assurance Analyst ,,,,,,,,
,with our client,,,,,,,,
,for a ,,,,,,,,
,permanent,,,,,,,,
, opportunity.,,,,,,,,
, ,,,,,,,,
,Project Description:,,,,,,,,
,"The Quality Assurance Analyst provides specialist advice and analysis to ensure that all information systems programs and projects meet end-user requirements and organizational standards for usability, operability and performance.",,,,,,,,
,"You will be responsible for creating project quality performance test plans, selecting tools, setting up environments, designing performance testing framework, scripting, executing performance tests, and analyzing results, implementing quality initiatives, test execution and tool selection. The focus will primarily be on systems programs and projects to meet end-user performance requirements and organizational standards for usability, operability and performance.   Majority of work will be performed in a formal project or program team. Projects and programs typically have a high degree of complexity, influence, and impact as solutions are generally designed for the majority of constituents in our client’s community. ",,,,,,,,
,"Outside of project/program assignments, the Quality Assurance Analyst with other Quality Assurance Analysts will work on best practices improvements for the purpose of achieving a high level of quality in all project deliverables, ensuring that software quality exceeds industry norms for accuracy, reliability and scalability. This includes providing support and advice to other analysts and developers on quality assurance activities both within the department and to our client’s greater IT community. ",,,,,,,,
, ,,,,,,,,
,Requirements and Duties:,,,,,,,,
, ,,,,,,,,
,Toolset and technical environment:,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,On behalf of our high profile client here in ,,,,,,,,
, ,,,,,,,,
,Experience and Qualifications:,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
,"Vancouver,",,,,,,,,
,Ignite Technical Resources,,,,,,,,
, is looking for a ,,,,,,,,
,Senior Business Analyst for a Claims Processing Project ,,,,,,,,
,with our client,,,,,,,,
,for a ,,,,,,,,
,14 week contract opportunity ,,,,,,,,
,with a strong possibility of an extension.,,,,,,,,
, ,,,,,,,,
,Project Description:,,,,,,,,
,The scope of this engagement is to work with the Health Benefits team and IIMS to document current and future state claims processes and business requirements.,,,,,,,,
, ,,,,,,,,
,Deliverables:,,,,,,,,
, ,,,,,,,,
,Experience and Qualifications:,,,,,,,,
, ,,,,,,,,
,Must have: ,,,,,,,,
, ,,,,,,,,
,,,"<title>
    Senior Programmer Analyst - Supply Chain Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,WPCG,,,,,,,,
, is hiring a ,,,,,,,,
,Senior Programmer Analyst,,,,,,,,
," for a nationally-recognized retail industry leader. They are known for providing career growth and retaining great people over the long term. With several long-term projects planned in the future, this will be a great place to ensure an exciting next step in your career.",,,,,,,,
,                                            ,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,On behalf of our high profile client here in ,,,,,,,,
,                                            ,,,,,,,,
,Key responsibilities,,,,,,,,
,Qualifications:,,,,,,,,
,,,"<title>
    Intermediate Systems Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,,,,3-5 years of Systems Analysis experience,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,"Vancouver,",,,,,,,,
,Ignite Technical Resources,,,,,,,,
, is looking for a ,,,,,,,,
,Quality Assurance Analyst ,,,,,,,,
,with our client,,,,,,,,
,for a ,,,,,,,,
,permanent,,,,,,,,
, opportunity.,,,,,,,,
, ,,,,,,,,
,Project Description:,,,,,,,,
,"The Quality Assurance Analyst provides specialist advice and analysis to ensure that all information systems programs and projects meet end-user requirements and organizational standards for usability, operability and performance.",,,,,,,,
,"You will be responsible for creating project quality performance test plans, selecting tools, setting up environments, designing performance testing framework, scripting, executing performance tests, and analyzing results, implementing quality initiatives, test execution and tool selection. The focus will primarily be on systems programs and projects to meet end-user performance requirements and organizational standards for usability, operability and performance.   Majority of work will be performed in a formal project or program team. Projects and programs typically have a high degree of complexity, influence, and impact as solutions are generally designed for the majority of constituents in our client’s community. ",,,,,,,,
,"Outside of project/program assignments, the Quality Assurance Analyst with other Quality Assurance Analysts will work on best practices improvements for the purpose of achieving a high level of quality in all project deliverables, ensuring that software quality exceeds industry norms for accuracy, reliability and scalability. This includes providing support and advice to other analysts and developers on quality assurance activities both within the department and to our client’s greater IT community. ",,,,,,,,
,WPCG,,,,,,,,
, is hiring a ,,,,,,,,
,Senior Programmer Analyst,,,,,,,,
,,,, ,,,,,
,,,,Hands-on experience with PeopleSoft      and/or Kronos,,,,,
,,,, ,,,,,
,,,,Integrated systems design and      development experience,,,,,
,,,,Ability to create system data flow definitions and diagrams,,,,,
,,,,"Creating technical conversion specifications including data mapping      from existing sources, transaction volumes, security, performance requirements      and identification of technical limitations, including application      capacity",,,,,
,,,,Creating non-functional requirements,,,,,
,,,,Researching trends in technology and/or      application development patterns,,,,,
,,,"<title>
    SOX Analyst Job in Burnaby V6B1P1, British Columbia Canada
  </title>",,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,,,,"Document the end-to-end current state claims      processes and develop any supporting documentation i.e. reports matrix,      inputs matrix, list of forms/agreements by process, document control      points, develop process accountabilities matrix, list of official      ‘records’)",,,,,
,,,,Lead future state workflow design sessions and      document outputs,,,,,
,,,,"Document future state business, stakeholder      and solution (functional and non-functional) requirements",,,,,
,,,,Excellent business analysis skills; CBAP      certification preferred ,,,,,
,,,,Strong engagement and communication skills ,,,,,
,,,,Proven ability to document business      processes/workflows and develop other supporting documentation ,,,,,
, ,,,,,,,,
,Requirements and Duties:,,,,,,,,
, ,,,,,,,,
,Toolset and technical environment:,,,,,,,,
, ,,,,,,,,
,Experience and Qualifications:,,,,,,,,
, ,,,,,,,,
,"If you meet the required criteria and are interested in the above position, please submit a Word version of your resume ",,,,,,,,
,HERE,,,,,,,,
,!,,,,,,,,
, ,,,,,,,,
,"**Due to the volume of resumes, only those candidates being considered will be contacted.",,,,,,,,
, ,,,,,,,,
, ,,,,,,,,
,We get it.,,,,,,,,
, ,,,,,,,,
,"We get technology. We get people. We get you don’t want cyborgs taking over the office and running the show. When there‘s a problem, everyone wants the right person for the job. The kind of person who is brilliant, efficient, technically savvy and who can communicate with everyone else. We know these kinds of people.",,,,,,,,
," for a nationally-recognized retail industry leader. They are known for providing career growth and retaining great people over the long term. With several long-term projects planned in the future, this will be a great place to ensure an exciting next step in your career.",,,,,,,,
,                                            ,,,,,,,,
,                                            ,,,,,,,,
,Key responsibilities,,,,,,,,
,Qualifications:,,,,,,,,
,,,,  ,,,,,
,,,,Systems   design and analysis activities to deliver technical solutions to business   opportunities as needed,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Plans   and leads system and integration test cycles and execution when   needed,,,,,
,,,,  ,,,,,
,,,"<title>
    HRIS Business Developer Intelligence Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,Do you excel in a modern and energetic IT environment? Are you inspired by coworkers that share the same passion for technology and innovation?,,,,,,,,
,                       ,,,,,,,,
,,,"<title>
    Junior HelpDesk Analyst Job in Vancouver V6C 2T5, British Columbia Canada
  </title>",,,,,,
,Stellar Recruitment is searching for a Junior HelpDesk Analyst for one of their clients located in the Lower Mainland. We’re looking for someone with great customer service and a can-do attitude! ,,,,,,,,
,,,,Proven ability to work with technical      resources to translate business requirements into high-level functional      requirements ,,,,,
,,,,Claims processing/management systems project      experience,,,,,
,,,,BC / Canadian healthcare project experience,,,,,
, ,,,,,,,,
,"Ignite Technical Resources is a Vancouver-based Information Technology resourcing firm built around three principles: speed, efficiency and quality. We provide highly trained and qualified technical consultants to your organization as a flexible work force option. Our consultants will help you through workload fluctuations and can manage outsourced projects of any size.",,,,,,,,
, ,,,,,,,,
,You have greater day-to-day issues to manage. Ignite will solve your immediate IT needs with little delay or effort. It’s what we do best. ,,,,,,,,
, ,,,,,,,,
,We’re wired for people.,,,,,,,,
, ,,,,,,,,
,Follow Ignite on,,,,,,,,
, Twitter ,,,,,,,,
,@ignitetechnical,,,,,,,,
, and become a fan on ,,,,,,,,
,,,,  ,,,,,
,,,,Ensures   standards and technical direction are implemented in deliverables   ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Provides   technical support to system users,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Provides   mentoring and technical coaching to programmers,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Integrates,   writes, modifies, maintains amd tests code",,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,                       ,,,,,,,,
,WPCG,,,,,,,,
, is searching for a ,,,,,,,,
,Business Intelligence Developer Analyst,,,,,,,,
, for one of our Vancouver based clients. ,,,,,,,,
,        ,,,,,,,,
,        ,,,,,,,,
,Job Description,,,,,,,,
,:,,,,,,,,
,"The BI Developer Analyst will gather requirements, develop and implement reports, dashboards, alerts and other deliverables required to improve the performance of the business technologies related to: Cognos, SSRS, SSAS, SSIS, Crystal and application specific reporting.",,,,,,,,
, ,,,,,,,,
,The HelpDesk Analyst will act as a first point of contact for any IT related issues or requests and will be expected to take on all tasks in an organized and efficient manner. This is a contract to hire position. ,,,,,,,,
, ,,,,,,,,
,Job Responsibilities: ,,,,,,,,
, ,,,,,,,,
,Job Requirements: ,,,,,,,,
, ,,,,,,,,
,To Apply – Visit our website ,,,,,,,,
,www.stellar-recruitment.com,,,,,,,,
,.,,,,,,,,
, ,,,,,,,,
,"At Stellar, we’re focused on people—outstanding people. Our staff have been building solid relationships and growing an extensive network in Vancouver and Calgary’s IT, Accounting & Finance and Engineering sectors for over 10 years. As a result, we have strong connections to the best organizations and the most talented minds in this city.",,,,,,,,
,,,"<title>
    Senior Programmer Analyst-(Business Intelligence) Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,Facebook,,,,,,,,
," for up-to-date information about our company including job postings! To see other IT job postings, visit our ",,,,,,,,
,,,,Coordinates   deployments across multiple IT groups,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,"Prepares   and reviews technical documentation including technical support guides, user   manuals, and help desk documentatio",,,,,
,,,,  ,,,,,
,,,,Degree   or Diploma in Computer Science or related   discipline,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,5-8   years’ experience in software development ,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Proven   ability to work in a team-based environment with minimum   supervision,,,,,
,,,,  ,,,,,
,,,,  ,,,,,
,,,,Extensive   experience developing software in one or more of the following:,,,,,
,,,,  ,,,,,
,,,,"IntelliJ, Java, JSP & JSF,   Eclipse, Tomcat, Web technologies, Apache, Spring",,,,,
,                                   ,,,,,,,,
,                                   ,,,,,,,,
,Requirements,,,,,,,,
, ,,,,,,,,
,"Our business is guided by honesty and integrity. Those qualities make us diligent about finding exceptional matches that work to the mutual advantage of both the hiring company and the candidate. We’ll find the most appropriate person for each position, and the most suitable position for every consultant. That’s our job and we do it well. No red tape. Just simple, straightforward solutions that make life easier for our clients.",,,,,,,,
,Stellar Recruitment is searching for a Junior HelpDesk Analyst for one of their clients located in the Lower Mainland. We’re looking for someone with great customer service and a can-do attitude! ,,,,,,,,
, ,,,,,,,,
,The HelpDesk Analyst will act as a first point of contact for any IT related issues or requests and will be expected to take on all tasks in an organized and efficient manner. This is a contract to hire position. ,,,,,,,,
, ,,,,,,,,
,Job Responsibilities: ,,,,,,,,
, ,,,,,,,,
,Job Requirements: ,,,,,,,,
,,,"<title>
    Management Consulting-Business Analyst Job in Vancouver, British Columbia Canada
  </title>",,,,,,
,Website,,,,,,,,
,!,,,,,,,,
,,,,Write and execute performance testing strategy      for large-scale custom and COTS software implementations.,,,,,
,,,,Install and maintain test bench consisting of      the testing suite and monitoring tools hooked to a large ecosystem of      inter-related servers,,,,,
,,,,  ,,,,,
